name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
"The Leader's Guide to Lateral Thinking Skills, 3rd Edition",PaulSloane,JamesLangton,2019-02-04,English,10.044,4.0,4.0,319
From Impossible to Inevitable,"AaronRoss,JasonLemkin",AaronRoss,2017-06-02,English,8.016,4.5,2.0,565
The Ultimate Question 2.0 (Revised and Expanded Edition),"FredReichheld,RobMarkey",WalterDixon,2011-07-11,English,8.436,5.0,1.0,480
Predictable Success,LesMcKeown,DerekPerkins,2020-10-26,English,5.6160000000000005,5.0,1.0,396
Rocket Fuel,"GinoWickman,MarkC.Winters",MarkC.Winters,2015-07-28,English,6.0120000000000005,5.0,6.0,266
Leading,"AlexFerguson,MichaelMoritz",ThomasBirnstiel,2017-03-21,German,7.224,1.0,2.0,772
Professional Writing Skills,NatashaTerk,ErindeWard,2018-06-11,English,7.032,4.0,4.0,272
Reinventing the Organization,"ArthurYeung,DaveUlrich",SteveMenasche,2019-09-24,English,8.436,5.0,1.0,584
Enough,JohnC.Bogle,AlanSklar,2009-01-29,English,7.5840000000000005,4.5,6.0,374
Sometimes You Win--Sometimes You Learn,"JohnC.Maxwell,JohnWooden-foreword",ChrisSorensen,2013-08-10,English,6.0,5.0,5.0,446
HBR Guide to Coaching Employees,HarvardBusinessReview,JonathanYen,2015-04-08,English,6.0120000000000005,5.0,4.0,236
What Customers Crave,NicholasJ.Webb,JamesFoster,2015-12-27,English,8.040000000000001,4.0,5.0,421
The Start-Up J Curve,HowardLove,ChrisAbell,2016-10-10,English,8.016,5.0,2.0,426
The Tyranny of Metrics,JerryZ.Muller,MatthewJosdal,2018-04-24,English,5.628,4.5,2.0,322
The Joy of Leadership,"AngusRidgway,TalBen-ShaharPhD",RamonDeOcampo,2018-03-30,English,7.032,5.0,1.0,430
The Ten Faces of Innovation,"TomKelley,JonathanLittman",StowLovejoy,2006-07-13,English,10.032,4.0,4.0,529
The Little Black Book of Innovation,ScottDAnthony,SeanPratt,2012-04-01,English,8.16,5.0,2.0,363
Customer Success,"NickMehta,DanSteinman,LincolnMurphy",TimAndresPabon,2017-07-07,English,7.872,4.5,18.0,505
What Makes an Effective Executive,PeterF.Drucker,BillDeWees,2008-04-25,English,1.1280000000000001,5.0,6.0,23
Irrational Exuberance,RobertJ.Shiller,RobertJ.Shiller,2000-10-31,English,7.5360000000000005,4.5,6.0,353
Becoming a Manager,LindaA.Hill,MachelleWilliams,2020-12-29,English,8.436,4.0,1.0,736
Rethinking Competitive Advantage,RamCharan,ArthurMorey,2021-08-04,English,10.656,4.0,1.0,318
Thank You for Disrupting,Jean-MarieDru,DonaldCorren,2019-06-14,English,8.436,4.0,1.0,353
The Icarus Deception,SethGodin,SethGodin,2013-01-01,English,12.06,4.0,9.0,432
Manage Your Day-to-Day,JocelynK.Glei-editor,"FredStella,LauralMerlington",2013-05-21,English,2.8080000000000003,4.5,7.0,203
Fanocracy,"ReikoScott,TonyRobbins-foreword,DavidMeermanScott","DavidMeermanScott,ReikoScott,ByronWagner-foreword",2020-07-01,English,10.548,3.5,2.0,506
The Good Jobs Strategy,ZeynepTon,TanyaEby,2014-01-14,English,7.032,5.0,1.0,500
Giving Effective Feedback,HarvardBusinessReview,JamesEdwardThomas,2015-04-08,English,2.7960000000000003,4.0,3.0,57
The Outward Mindset,TheArbingerInstitute,OliverWyman,2016-09-05,English,6.0120000000000005,4.0,3.0,262
Accelerate,JohnP.Kotter,ChrisSorenson,2017-02-28,English,7.032,4.0,1.0,276
Innovation Secrets of Steve Jobs,CarmineGallo,SeanMangan,2011-10-06,English,11.244,5.0,3.0,504
A Summary of Built to Last: Successful Habits of Visionary Companies by Jim Collins and Jerry I. Porras,JerryI.Porras,JasonMcCoy,2015-08-07,English,1.68,4.5,8.0,22
The Amazon Way on IoT,JohnRossman,ChristopherLane,2016-12-20,English,5.628,5.0,2.0,313
The Power of Starting Something Stupid,"RichieNorton,NatalieNorton",RichieNorton,2013-04-19,English,7.032,5.0,3.0,325
Be a People Person,JohnC.Maxwell,LloydJames,2014-05-03,English,7.032,5.0,2.0,328
#AskGaryVee,GaryVaynerchuk,"GaryVaynerchuk,JackWelch,DaveRamsey",2016-08-03,English,18.228,3.0,2.0,697
The Essential Deming,"W.EdwardsDeming,JoyceOrsini",DouglasMartin,2021-02-14,English,16.080000000000002,4.0,2.0,552
The 10 Stories Great Leaders Tell,PaulSmith,PaulSmith,2021-03-23,English,7.5360000000000005,5.0,2.0,77
Mastering the Rockefeller Habits,VerneHarnish,VerneHarnish,2017-02-27,English,6.0120000000000005,5.0,4.0,242
Rich Dad Advisors: Start Your Own Corporation,GarrettSutton,"SteveStratton,GarrettSutton",2013-01-29,English,6.0,4.0,2.0,416
"Self as Coach, Self as Leader",PamelaMcLean,HollyAdams,2019-08-13,English,7.032,5.0,2.0,371
The Game-Changer,"A.G.Lafley,RamCharan",MarcCashman,2008-08-29,English,13.572000000000001,5.0,2.0,746
Selling Technology the Sandler Way,RichChiarello,SeanPratt,2018-05-04,English,7.032,5.0,4.0,183
The End of Power,MoisesNaim,MattKugler,2020-01-28,English,6.0,5.0,3.0,779
PMP Exam Prep,AlekSmolinski,JasonWright,2020-10-02,English,8.016,3.0,1.0,441
"Eat, Sleep, Innovate","ScottD.Anthony,PaulCobban,NataliePainchaud,",ChrisSorensen,2020-10-20,English,7.032,5.0,1.0,439
Like a Virgin,RichardBranson,RichardBranson,2012-07-19,English,4.92,4.5,6.0,155
Elevate,"RobertGlazer,StewartFriedman-foreword","RobertGlazer,StewartFriedman",2020-10-27,English,7.5360000000000005,4.5,3.0,90
The Loudest Duck,LauraALiswood,LisaRothe,2020-09-07,English,8.016,4.0,1.0,257
Driving Digital,IsaacSacolick,TomParks,2017-08-24,English,12.06,4.5,6.0,613
Jim Rohn's 3 Philosophies for Network Marketing Success,ChrisWidener,ChrisWidener,2014-10-14,English,3.372,5.0,4.0,47
Agile,HarvardBusinessReview,JonathanToddRoss,2020-04-21,English,4.212,5.0,3.0,160
How to Develop Your Personal Mission Statement,StephenR.Covey,StephenR.Covey,2010-02-25,English,5.6160000000000005,3.5,8.0,72
The Real-Life MBA,"JackWelch,SuzyWelch",SeanPratt,2015-04-14,English,12.828,4.5,5.0,386
Competitive Strategy,MichaelPorter,DeaverBrown,2010-02-11,English,1.116,5.0,3.0,93
"How to Negotiate Anything, Anywhere",HerbCohen,HerbCohen,2014-05-23,English,5.6160000000000005,3.5,8.0,62
Blue Ocean Classics,"W.ChanKim,ReneeMauborgne",SteveMenasche,2019-08-20,English,7.032,5.0,1.0,112
How to Hug a Porcupine,JulieA.RossMA,PamWard,2017-07-20,English,9.276,5.0,1.0,414
The Art of Influence,ChrisWidener,ChrisWidener,2008-02-09,English,4.524,5.0,1.0,100
Differentiate or Die,"JackTrout,SteveRivkin",PatrickCullen,2002-04-26,English,8.424,4.5,8.0,378
Authentic Diversity,MichelleSilverthorn,JaninaEdwards,2021-01-26,English,5.628,4.5,3.0,308
$100M Offers,AlexHormozi,AlexanderHormozi,2021-02-08,English,6.0120000000000005,5.0,46.0,228
Hooked: How to Build Habit-Forming Products,"NirEyal,RyanHoover",NirEyal,2014-01-22,English,6.0120000000000005,4.5,355.0,280
The Mom Test,RobFitzpatrick,RobFitzpatrick,2019-08-05,English,6.0120000000000005,4.5,53.0,230
Crush It!,GaryVaynerchuk,GaryVaynerchuk,2010-05-01,English,10.8,4.5,99.0,220
Marketing 5.0,"PhilipKotler,HermawanKartajaya,IwanSetiawan",SteveMenasche,2021-03-23,English,5.628,4.5,7.0,428
The Bitcoin Standard,SaifedeanAmmous,JamesFouhey,2018-05-06,English,10.032,4.5,57.0,676
The Psychology of Selling,BrianTracy,BrianTracy,2012-12-30,English,7.032,4.5,29.0,378
Marketing 4.0,"PhilipKotler,HermawanKartajaya,IwanSetiawan",JonathanToddRoss,2019-05-28,English,5.628,4.5,132.0,288
Market Wizards,"JackD.Schwager,BruceKovner,RichardDennis,",DjHolte,2013-03-21,English,10.032,5.0,111.0,881
Expert Secrets,RussellBrunson,RussellBrunson,2020-06-23,English,9.0,4.5,34.0,386
To Sell Is Human,DanielH.Pink,DanielH.Pink,2013-07-02,English,9.564,4.5,44.0,366
The Art of Closing the Sale,BrianTracy,BrianTracy,2010-07-05,English,9.492,5.0,24.0,266
Product-Led Growth,WesBush,DerekDysart,2019-10-28,English,6.0120000000000005,4.5,6.0,263
SPIN Selling,NeilRackham,EliWoods,2021-07-20,English,7.032,4.5,10.0,372
"Nawabs, Nudes, Noodles",AmbiParameswaran,SuyashBarve,2022-01-28,English,8.016,4.0,6.0,545
The Future of Money,EswarS.Prasad,StephenR.Thorne,2021-10-26,English,9.84,5.0,1.0,1186
Secrets of Closing the Sale,ZigZiglar,ZigZiglar,2008-12-08,English,14.052,4.5,11.0,914
All Marketers Are Liars,SethGodin,SethGodin,2005-05-25,English,8.016,4.5,40.0,257
Understanding Digital Marketing,DamianRyan,JamesLangton,2019-01-29,English,12.06,4.5,11.0,961
Gap Selling: Getting the Customer to Yes,Keenan,Keenan,2019-07-01,English,8.016,4.5,9.0,347
Blockchain Revolution,"DonTapscott,AlexTapscott",JohnChancer,2018-05-07,English,9.84,4.0,13.0,1073
Storytelling with Data,ColeNussbaumerKnaflic,ColeNussbaumerKnaflic,2018-01-31,English,8.016,5.0,40.0,343
How Brands Grow,ByronSharp,DanielMay,2014-04-02,English,8.016,4.0,30.0,394
This Is Marketing,SethGodin,SethGodin,2018-11-13,English,9.84,4.0,183.0,422
The Adweek Copywriting Handbook,JosephSugarman,MikeLenz,2020-12-29,English,8.436,3.0,2.0,669
The 1-Page Marketing Plan,AllanDib,JoelRichards,2016-08-16,English,8.016,5.0,135.0,392
Narrative Economics,RobertJ.Shiller,"SusanOsman,RobertJ.Shiller-introduction",2019-01-10,English,7.0200000000000005,4.5,28.0,667
Competing Against Luck,"ClaytonM.Christensen,TaddyHall",JohnPruden,2016-04-10,English,14.172,4.5,38.0,445
Dotcom Secrets,RussellBrunson,RussellBrunson,2020-06-23,English,9.0,5.0,38.0,399
Sell or Be Sold: How to Get Your Way in Business and in Life,GrantCardone,GrantCardone,2014-04-22,English,10.032,4.5,116.0,700
Building a StoryBrand,DonaldMiller,DonaldMiller,2017-10-10,English,13.5,4.5,56.0,296
Alchemy,RorySutherland,RorySutherland,2019-07-05,English,8.196,4.5,88.0,578
Sawal Hi Jawab Hai,AllanPease,KiranPatil,2019-01-24,Hindi,1.4040000000000001,5.0,32.0,150
Obviously Awesome,AprilDunford,AprilDunford,2020-10-03,English,6.0120000000000005,4.5,21.0,211
The Wisdom of Crowds,JamesSurowiecki,GroverGardner,2004-05-19,English,10.824,4.0,14.0,569
Naked Money,CharlesWheelan,JonathanDavis,2016-04-04,English,10.032,4.5,21.0,791
Unleash the Power of Storytelling,RobBiesenbach,RobBiesenbach,2018-05-03,English,6.0120000000000005,5.0,5.0,190
The Ultimate Sales Machine,ChetHolmes,AnthonyHeald,2008-11-21,English,7.872,5.0,4.0,553
Marketing Made Simple,"DonaldMiller,Dr.J.J.Peterson","DonaldMiller,Dr.J.J.Peterson",2020-03-17,English,12.144,4.5,12.0,259
Launch (Updated & Expanded Edition),JeffWalker,JeffWalker,2021-07-27,English,8.436,5.0,3.0,552
Sell,SubrotoBagchi,GireeshNair,2020-07-21,English,6.0120000000000005,4.5,119.0,297
Misbehaving,RichardH.Thaler,L.J.Ganser,2015-05-18,English,10.032,4.5,51.0,815
Expert Secrets,"RussellBrunson,RobertT.Kiyosaki-foreword",HankBannister,2018-06-26,English,7.032,4.5,43.0,371
Nudge,"RichardH.Thaler,CassR.Sunstein",SeanPratt,2008-02-07,English,7.32,4.5,14.0,635
Marketing: A Guide to the Fundamentals,PatrickForsyth,BarnabyEdwards,2013-08-16,English,6.828,4.5,3.0,481
Purple Cow,SethGodin,SethGodin,2020-11-24,English,7.38,4.5,9.0,178
Anthro-Vision,GillianTett,ImogenChurch,2021-08-06,English,13.116,4.5,10.0,641
The Psychology of Selling,BrianTracy,BrianTracy,2014-10-14,English,17.268,5.0,212.0,319
Power Phone Scripts,MikeBrooks,StephenMcLaughlin,2017-07-14,English,8.016,5.0,3.0,524
Ca$hvertising,DrewEricWhitman,JohnnyHeller,2017-12-05,English,5.6160000000000005,4.5,18.0,377
The Win Without Pitching Manifesto,BlairEnns,ShannynLee,2019-03-07,English,2.7960000000000003,5.0,16.0,150
Sales EQ,JebBlount,JebBlount,2017-11-07,English,8.016,4.5,6.0,542
How to Be Heard,JulianTreasure,JulianTreasure,2018-09-03,English,9.84,4.0,3.0,749
Traffic Secrets,RussellBrunson,RussellBrunson,2020-06-23,English,9.0,5.0,30.0,418
The Mindbody Prescription,JohnE.SarnoM.D.,BrianHolsopple,2012-01-17,English,6.0,4.5,6.0,424
Advanced Selling Strategies,BrianTracy,BrianTracy,2016-11-11,English,9.84,5.0,1.0,934
Oversubscribed,DanielPriestley,"RogerDavis,DanielPriestley",2015-08-18,English,6.828,5.0,20.0,312
Blindsight,"MattJohnsonPhD,PrinceGhuman",RogerWayne,2020-05-19,English,9.84,5.0,1.0,539
Everybody Writes,AnnHandley,CynthiaBarrett,2020-07-27,English,8.016,5.0,1.0,524
How to Master the Art of Selling,TomHopkins,BillFoote,2017-11-04,English,11.244,5.0,6.0,928
The Power of Broke,"DaymondJohn,DanielPaisner","DaymondJohn,SwayCalloway",2016-09-27,English,8.016,4.5,14.0,524
Methods of Persuasion,NickKolenda,MikeNorgaard,2017-09-18,English,8.016,5.0,6.0,366
To Sell Is Human,DanielH.Pink,DanielH.Pink,2012-12-31,English,10.548,4.5,11.0,366
Magnetic Marketing,DanS.Kennedy,RustyShelton,2018-11-29,English,6.0120000000000005,5.0,9.0,233
Life After Google,GeorgeGilder,EricMichaelSummerer,2018-07-17,English,11.256,4.5,18.0,578
Sell Without Selling Out,AndyPaul,AndyPaul,2022-02-22,English,4.5,5.0,1.0,183
Go Pro - 7 Steps to Becoming a Network Marketing Professional,EricWorre,EricWorre,2013-09-13,English,2.7960000000000003,4.5,26.0,169
The Language of Sales,"TomHopkins,AndrewEilers",BillFoote,2019-04-30,English,7.296,5.0,2.0,326
They Ask You Answer,MarcusSheridan,PaulBoehmer,2017-06-26,English,7.872,5.0,5.0,380
Sell with a Story,PaulSmith,PaulSmith,2016-10-18,English,10.032,4.5,3.0,479
How to Become a LinkedIn Rockstar,ChrisJ.Reed,BillAllender,2020-09-09,English,2.7960000000000003,4.0,1.0,355
The Million-Dollar Financial Advisor,DavidJ.MullenJr.,AllanRobertson,2014-02-05,English,8.016,4.5,17.0,504
How to Have Confidence and Power in Dealing with People,LesGiblin,PatReilly,2016-09-11,English,6.0120000000000005,5.0,5.0,279
"Why We Buy, Updated and Revised Edition",PacoUnderhill,MikeChamberlain,2011-05-05,English,9.276,4.0,3.0,720
"They Ask, You Answer",MarcusSheridan,MarcusSheridan,2019-12-24,English,7.032,4.0,4.0,572
The Business of Belonging,DavidSpinks,ChristopherDouyard,2021-05-18,English,7.032,4.0,4.0,379
Overcoming Top Sales Objections,"MadeforSuccess,TomHopkins,ZigZiglar,","TomHopkins,ZigZiglar,BryanFlanagan",2014-07-10,English,7.0200000000000005,4.0,1.0,192
Objections,"JebBlount,MarkHunter-forewordby",JebBlount,2019-05-21,English,5.628,4.5,7.0,353
Product Management for Dummies,"BrianLawley,PamelaSchure",ChrisSorensen,2019-06-28,English,8.436,5.0,4.0,774
Blue Ocean Shift,"ReneeMauborgne,W.ChanKim",ChristianSteiner,2017-09-21,English,3.876,4.5,14.0,587
Hook Point,BrendanKane,BrendanKane,2020-04-08,English,8.424,2.5,3.0,490
"Jab, Jab, Jab, Right Hook",GaryVaynerchuk,JohnHopkinson,2021-06-12,English,5.892,5.0,1.0,341
Selling the Invisible,HarryBeckwith,JeffreyJones,2008-06-27,English,6.0,4.5,13.0,96
80/20 Sales and Marketing,PerryMarshall,RonAllan,2014-05-06,English,8.016,5.0,1.0,343
The Smart Business Guide to China E-Commerce,FrankLavin,NathanSigman,2021-10-29,English,10.548,5.0,1.0,356
Network Marketing Sawal Aapke Jawab Surya Sinha Ke,SuryaSinha,HemantSaini,2021-07-19,Hindi,0.0,5.0,2.0,228
Influence,DanLok,DanLok,2016-12-13,English,7.032,4.5,13.0,214
The Hidden Psychology of Social Networks,JoeFederer,AlexKnox,2021-07-14,English,7.032,4.5,3.0,554
Pitch Anything by Oren Klaff - Book Summary,"DeanBokhari,FlashBooks",DeanBokhari,2021-07-01,English,1.968,4.5,5.0,25
How to Sell Your Way Through Life,NapoleonHill,A.C.Fellner,2020-09-07,English,10.032,5.0,1.0,654
How to Persuade and Get Paid,PhilM.Jones,PhilM.Jones,2019-07-02,English,12.036,5.0,6.0,279
Digital Customer Service,"RickDelisi,DanMichaeli",RickDelisi,2021-12-21,English,7.032,3.0,1.0,335
How to Win Client Business When You Don't Know Where to Start,DougFletcher,BarryAbrams,2021-07-12,English,7.032,5.0,1.0,437
The Art of Choosing,SheenaIyengar,OrlaghCassidy,2010-03-18,English,6.0,4.5,6.0,632
Behavioural Economics,DavidOrrell,DanBottomley,2021-01-11,English,5.688,4.0,3.0,288
The Pop-Up Pitch,DanRoam,EricPollins,2021-09-11,English,6.0,5.0,1.0,254
Market Research Like a Pro,PoojaAgnihotri,AndrewDoyle,2021-11-10,English,2.8080000000000003,4.0,1.0,48
Predictable Prospecting,"MarylouTyler,JeremeyDonovan",ToddBelcher,2021-07-08,English,5.628,5.0,1.0,277
Top of Mind,JohnHall,ScottPollak,2021-07-20,English,5.628,4.0,1.0,314
Monetizing Innovation,"GeorgTacke,MadhavanRamanujam",DarrenStephens,2016-06-10,English,8.016,5.0,9.0,449
How to Become a Rainmaker,JeffreyJ.Fox,JeffreyJ.Fox,2000-06-06,English,0.888,4.5,3.0,128
"Passive Income Ideas: 35 Best, Proven Business Ideas for Building Financial Freedom in the New Economy",ChandlerWright,CurtisWright,2019-02-07,English,6.0120000000000005,5.0,1.0,206
Start at the End,MattWallaert,MattWallaert,2019-11-06,English,10.548,4.5,5.0,280
Design for How People Think,JohnWhalenPhD,MitchellDorian,2021-05-18,English,14.064,4.5,3.0,283
Get Different,MikeMichalowicz,MikeMichalowicz,2021-09-21,English,12.06,5.0,1.0,417
Advanced Selling Techniques,BrianTracy,BrianTracy,2014-10-14,English,17.268,5.0,2.0,398
High-Profit Prospecting,MarkHunterCSP,SeanPratt,2016-06-09,English,8.436,5.0,1.0,370
Billion Dollar Brand Club,LawrenceIngrassia,SeanPatrickHopkins,2020-01-28,English,1.608,5.0,4.0,514
No B.S. Guide to Direct Response Social Media Marketing (2nd Edition),"DanS.Kennedy,KimWalshPhillips",JamesRomick,2020-06-30,English,7.032,5.0,4.0,451
The Supply Chain Revolution,SumanSarkar,ChristopherLane,2017-06-22,English,8.436,4.5,8.0,332
Storm the Norm,AnishaMotwani,DeeptiGupta,2017-01-01,English,7.0920000000000005,2.0,1.0,562
Get S--t Done,JeffreyGitomer,JeffreyGitomer,2019-10-12,English,5.628,3.5,3.0,232
A Brain for Business - A Brain for Life,ShaneO'Mara,MikeCooper,2021-04-05,English,9.276,3.0,1.0,411
The Entrepreneur Master Course,"JoeNuckols,BrianTracy,JoePolish,","JoeNuckols,BrianTracy,JoePolish,",2020-09-24,English,24.096,2.0,1.0,720
Predictable Revenue,"AaronRoss,MarylouTyler",MaryJaneWells,2013-08-19,English,8.016,3.5,2.0,307
How Clients Buy,"TomMcMakin,DougFletcher",BarryAbrams,2019-05-28,English,7.032,4.5,10.0,394
Eating the Big Fish,AdamMorgan,A.T.Chandler,2020-09-07,English,10.032,5.0,1.0,724
SEO 2021: Learn search engine optimization with smart internet marketing strategies,AdamClarke,"AdamClarke,AndrewJamesRoberts",2019-03-29,English,6.0120000000000005,4.5,3.0,355
Scientific Advertising,ClaudeCHopkins,PaulJones,2019-09-30,English,6.744,4.5,6.0,124
The Thank You Economy,GaryVaynerchuk,GaryVaynerchuk,2011-06-28,English,14.172,4.5,7.0,341
Scientific Advertising,Mr.ClaudeC.Hopkins,CoreMediaProductions,2007-07-12,English,10.416,4.0,9.0,122
It Happened in India,BiyaniKishore,Shantiraj,2017-09-01,English,3.696,4.0,15.0,501
Questions That Sell,PaulCherry,PatrickLawlor,2017-12-14,English,8.040000000000001,5.0,1.0,494
Sell More Faster,AmosSchwartzfarb,SeanPratt,2019-08-10,English,7.032,5.0,1.0,386
45 Second Mein Presentation Kaise De [How to Give a Presentation in 45 Seconds],DonFailla,ShankeyTripathi,2019-05-17,Hindi,2.424,3.5,4.0,229
Platform,CynthiaJohnson,CynthiaJohnson,2019-05-02,English,10.548,4.0,8.0,394
Freakishly Effective Social Media for Network Marketing,"RayHigdon,JessicaHigdon","RayHigdon,JessicaHigdon",2018-05-17,English,2.7960000000000003,5.0,4.0,122
Cryptocurrency Investing for Dummies,KianaDanial,WendyTremontKing,2020-07-28,English,8.436,4.0,5.0,756
"If You're Not First, You're Last",GrantCardone,GrantCardone,2012-02-27,English,9.84,4.5,25.0,467
Market Your Way to Growth,"PhilipKotler,MiltonKotler",MarkWeatherup,2020-09-07,English,8.016,5.0,1.0,399
Reinventing You,DorieClark,KarenSaltus,2013-02-04,English,7.872,4.0,5.0,333
Secrets of Selling,GrantCardone,GrantCardone,2014-08-20,English,1.584,5.0,12.0,58
Naye Zamane Ka Naya Business,ShankarManshani,JunaidKhan,2019-07-10,Hindi,2.868,5.0,2.0,593
Be a Sales Superstar,BrianTracy,BrianTracy,2013-10-12,English,1.4040000000000001,4.5,11.0,160
Hacking Marketing,ScottBrinker,WalterDixon,2017-02-14,English,7.872,3.0,1.0,399
Story or Die,LisaCron,KatieKoster,2021-02-03,English,12.06,3.0,1.0,552
"Fast, Cheap & Viral",AashishChopra,GireeshNair,2020-08-12,English,6.0120000000000005,4.5,25.0,262
One Million Followers: How I Built a Massive Social Following in 30 Days,BrendanKane,BrendanKane,2019-04-30,English,8.016,3.5,2.0,375
The Challenger Customer,"MatthewDixon,BrentAdamson,PatSpenner,",SteveKramer,2016-10-20,English,8.196,5.0,3.0,520
Superfans,PatFlynn,PatFlynn,2019-09-16,English,8.016,5.0,9.0,302
Fish! For Life,"StephenC.Lundin,JohnChristensen,HarryPaul","KerinMcCue,SaraKrieger",2018-03-22,English,6.0,4.5,3.0,158
Social Media Marketing All-in-One for Dummies (4th Edition),"JanZimmerman,DeborahNg",MeganTusing,2020-03-31,English,9.84,1.0,1.0,1301
The Four Color Personalities for MLM,"Tom""BigAl""Schreiter",DanCulhane,2015-03-26,English,2.7960000000000003,5.0,3.0,105
The Rational Animal,"DouglasT.Kenrick,VladasGriskevicius",TimAndresPabon,2013-09-20,English,9.84,5.0,1.0,523
Data-Driven Marketing,MarkJeffery,JimMeskemin,2020-09-07,English,8.016,4.5,4.0,575
The Introvert's Edge,MatthewPollard,JamieJackson,2018-04-01,English,9.84,1.0,1.0,297
Steal the Show,MichaelPort,MichaelPort,2015-06-10,English,8.436,5.0,2.0,458
"One Million Followers, Updated Edition",BrendanKane,BrendanKane,2020-03-11,English,8.016,2.0,1.0,470
Brands and Bulls**t.,BernhardSchroeder,"BernhardSchroeder,SeanPratt",2017-10-11,English,7.872,4.0,2.0,372
Free Prize Inside,SethGodin,SethGodin,2020-11-24,English,9.048,4.0,12.0,177
Close That Sale!,BrianTracy,BrianTracy,2014-02-18,English,1.68,4.5,5.0,74
The Persuasion Code,"ChristopheMorinPhD,PatrickRenvoise",ChristopherPrice,2018-02-10,English,10.032,3.0,3.0,612
The Cult of the Customer,ShepHyken,TimothyAndrésPabon,2018-11-20,English,7.032,5.0,1.0,374
Happy Money,"ElizabethDunn,MichaelNorton",B.J.Harrison,2013-10-21,English,8.016,4.5,8.0,329
The LinkedIn Book for Network Marketing,ScottAaron,EricRobertson,2020-04-27,English,5.628,3.0,4.0,120
Extraordinary Popular Delusions and the Madness of Crowds and Confusion de Confusiones,"JosephdelaVega,CharlesMackay,MartinS.Fridon",VictorBevine,2020-09-07,English,8.016,3.0,1.0,471
"Start Your FBA Business, Find Profitable Physical Products and Make a Full-Time Income Selling on Amazon",RedMikhail,"TrevorOheir,JonathanJohns",2020-05-11,English,4.5,5.0,2.0,189
"Amazon FBA, Dropshipping Shopify E-Commerce and Social Media Marketing: 3 Books in 1",BlakeDavis,KCWayman,2019-08-26,English,10.032,2.0,1.0,611
Jobs to Be Done,"StephenWunker,DavidFarber,JessicaWattman",TimAndresPabon,2016-07-11,English,7.032,5.0,1.0,292
Brainfluence,RogerDooley,MarkAshby,2020-09-07,English,8.016,5.0,1.0,434
"Personal Branding for Dummies, 2nd Edition",SusanChritton,SamanthaDesz,2018-09-10,English,8.436,4.0,1.0,754
The Art of the Pitch,PeterCoughter,TJJohnson,2020-05-27,English,10.032,5.0,1.0,275
Six Billion Shoppers,PorterErisman,GeorgeNewbern,2017-09-28,English,3.876,5.0,4.0,454
How to Sell When Nobody Is Buying,DaveLakhani,SeanPratt,2009-02-11,English,8.436,5.0,1.0,410
Growth Hacking for Dummies,AnujAdhiya,SteveMenasche,2020-06-16,English,7.032,5.0,1.0,520
The Revenue Acceleration Rules,"ShashiUpadhyay,KentMcCormick",EricMartin,2019-12-02,English,5.628,5.0,1.0,293
Entrepreneur Voices on Growth Hacking,"TheStaffofEntrepreneurMediaInc.,DerekLewis-editor,ShaunBuck-foreword","MargueriteGavin,SteveMenasche",2018-06-11,English,7.032,3.5,2.0,344
The Filter Bubble,EliPariser,JeffHarding,2012-12-03,English,7.836,3.0,1.0,480
The Customer Success Economy,"NickMehta,AllisonPickens,MariaMartinez-foreword",ChloeCannon,2020-07-31,English,8.436,5.0,2.0,606
The Science of Entrepreneurship,"BrianTracy,DanStrutzel-with","DanStrutzel,BrianTracy",2019-10-18,English,7.032,5.0,4.0,491
Marketing Your Startup,SimonaCovel,JulieEickhoff,2018-07-06,English,8.016,4.5,3.0,338
SEO for Growth,"JohnJantsch,PhilSingleton",JohnJantsch,2016-12-13,English,7.872,5.0,2.0,336
How to Build an Online Business,BernadetteSchwerdt,BernadetteSchwerdt,2018-10-07,English,8.016,4.5,4.0,486
The Relationship Economy,JohnR.DiJuliusIII,JoelRichards,2020-08-29,English,7.0200000000000005,4.0,1.0,322
Marketing in the Age of Google,VanessaFox,DonHagen,2011-06-06,English,8.436,4.5,3.0,328
The Sea We Swim In,FrankRose,ArthurMorey,2021-06-29,English,10.548,5.0,1.0,491
Think Simple,KenSegall,KenSegall,2016-06-30,English,8.196,4.5,3.0,449
"How To Sell, Sell, Sell, and Smash Targets Every Month",MikeLePut,MikeLePut,2006-12-12,English,6.144,5.0,3.0,311
Go for No!,"RichardFenton,AndreaWaltz",RichardFenton,2014-09-07,English,2.7960000000000003,5.0,4.0,93
The HyperLocal HyperFast Real Estate Agent: How to Dominate Your Real Estate Market in Under a Year - I Did It and So Can You!,DanielJamesLesniak,AdamDubeau,2017-08-05,English,8.016,5.0,1.0,385
Win the Game of Googleopoly,SeanV.Bradley,SeanV.Bradley,2015-09-22,English,8.016,5.0,1.0,463
The Emotional Intelligence Activity Kit,"AdeleB.Lynn,JaneleR.Lynn",KarenSaltus,2015-11-11,English,8.436,5.0,1.0,425
Free Marketing,JimCockrum,SeanPratt,2011-10-11,English,7.32,5.0,2.0,545
The Age of Addiction,DavidT.Courtwright,QarieMarshall,2019-06-05,English,14.064,4.0,1.0,555
Guerrilla Marketing,JayConradLevinson,DavidHilder,1999-12-15,English,9.276,3.0,1.0,709
It's Not the Big that Eat the Small...It's the Fast that Eat the Slow,"JasonJennings,LaurenceHaughton","JasonJennings,LaurenceHaughton",2002-09-08,English,8.424,5.0,1.0,363
