name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
From Texas with Love,DanGutman,MichaelGoldstrom,2014-01-28,English,8.424,5.0,6.0,327
The Dragonet Prophecy,TuiT.Sutherland,ShannonMcManus,2012-01-07,English,9.84,5.0,11.0,512
Dangerous Gift,TuiT.Sutherland,ShannonMcManus,2021-02-03,English,5.34,5.0,9.0,471
"The 39 Clues, Book 6",JudeWatson,DavidPittu,2009-06-11,English,5.6160000000000005,5.0,4.0,310
Never Say Genius,DanGutman,MichaelGoldstrom,2013-08-23,English,7.0200000000000005,5.0,8.0,327
The Madman of Black Bear Mountain,FranklinW.Dixon,TimGregory,2016-07-06,English,3.66,5.0,3.0,174
Tiger Honor,YoonHaLee,ElissaPark,2022-04-01,English,7.032,5.0,1.0,456
The Amulet of Samarkand,JonathanStroud,StevenPacey,2007-01-02,English,8.196,5.0,17.0,570
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,ChristopherGebauer,2021-03-16,English,4.92,3.5,7.0,89
Lost in the End,WinterMorgan,SummerMcCusker,2016-06-04,English,2.7960000000000003,5.0,5.0,103
Trouble Island,FranklinW.Dixon,TimGregory,2021-01-06,English,3.66,5.0,2.0,264
Riverboat Roulette,CarolynKeene,JorjeanaMarie,2017-03-20,English,3.66,5.0,4.0,166
Discoveries in the Overworld,WinterMorgan,SummerMcCusker,2016-06-04,English,2.7960000000000003,5.0,4.0,109
The Last Human,LeeBacon,PaulPanting,2019-03-10,English,11.388,5.0,7.0,402
An Explorer's Guide to the Nether,WinterMorgan,SummerMcCusker,2016-03-30,English,2.7960000000000003,5.0,4.0,110
The Midnight Gang,DavidWalliams,"DavidWalliams,PeterSerafinowicz,MorwennaBanks,",2016-11-15,English,3.864,4.5,3.0,369
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,RamonDeOcampo,2018-10-30,English,7.0200000000000005,5.0,2.0,131
A Boy Called Christmas,MattHaig,StephenFry,2016-03-11,English,6.828,4.5,21.0,272
"The 39 Clues, Book 4",JudeWatson,DavidPittu,2009-06-23,English,5.6160000000000005,5.0,6.0,277
"The 39 Clues, Book 3",PeterLerangis,DavidPittu,2009-03-03,English,5.6160000000000005,5.0,9.0,231
The Disappearance,FranklinW.Dixon,TimGregory,2019-05-14,English,3.66,4.0,1.0,230
Billionaire Boy,DavidWalliams,"DavidWalliams,NitinGanatra",2011-09-06,English,3.192,5.0,1.0,188
